Titel,Jahr,Ort,Schwerpunkt,VeranstalterInstitut,VerstanstalterStandort,Sponsor,SponsorStandort,SponsorBetrag,VortragThema,VortragTeam,VortragTeamleiter,VortragInstitut,VortragStandort
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Biotechnologische Anwendungen zur Heilung von Erbkrankheiten,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Sustainable Coastal Management in the Arctic,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Verlust der Biodiversität in der Tiefsee,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Die Rolle der Algen im Kohlenstoffkreislauf,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Neue Technologien im Kampf gegen Küstenerosion,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Coral Bleaching und die Auswirkungen auf die Meeresfauna,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Neue Entwicklungen in der Quantenkommunikation,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Graphen-basierte Materialien für Quantencomputer,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Entwicklung von Quantenalgorithmen für Big Data,Quantensimulation,Dr. Felix Keller,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Nanomaterialien für die Quantenbildgebung,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Der Einsatz von Quantencomputern in der Pharmaforschung,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Optimierung von Energiespeichern für erneuerbare Energie,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Hydrogentechnologien als Schlüssel für den Klimaschutz,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Politik zur Förderung von grüner Wasserstoffproduktion,Klimapolitik und Gesellschaft,Dr. Laura Lehmann,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Effizienzsteigerung von Solarmodulen,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Meeresenergie als zukünftige Quelle für Stromgewinnung,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",AI Ethics Consortium,Deutschland,170000,Deep Learning für die Verbesserung der Gesundheitsversorgung,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",AI Ethics Consortium,Deutschland,170000,Ethische Fragestellungen bei der Implementierung von Robotern im Pflegebereich,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",AI Ethics Consortium,Deutschland,170000,Verantwortung von KI-Entwicklern in der Medizin,Ethik der KI,Dr. Markus Hahn,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",AI Ethics Consortium,Deutschland,170000,Einsatz von Robotern zur Reduktion der Arbeitsbelastung,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",AI Ethics Consortium,Deutschland,170000,Maschinelles Lernen für die Optimierung von Lieferketten,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Astrobiology Research Initiative,Österreich,140000,Mikroben im All und ihre Überlebensfähigkeit,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Astrobiology Research Initiative,Österreich,140000,Suchen nach erdähnlichen Planeten in der Andromeda-Galaxie,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Astrobiology Research Initiative,Österreich,140000,Neue Ansätze in der Dunklen Materie Forschung,Kosmologie und Dunkle Materie,Dr. Florian Mayer,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Astrobiology Research Initiative,Österreich,140000,Leben auf Titan: Eine Zukunftsvision,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Astrobiology Research Initiative,Österreich,140000,Erfolgreiche Entwicklung eines extraterrestrischen Lebensmodells,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Sustainable Development Network,Schweden,65000,Globaler Vergleich von Klimaschutzmaßnahmen,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Sustainable Development Network,Schweden,65000,Innovationen im Abfallmanagement und Recycling,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Sustainable Development Network,Schweden,65000,Verhinderung des Verlusts von Biodiversität durch urbane Expansion,Ökosystemmanagement,Dr. Sarah Jung,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Sustainable Development Network,Schweden,65000,Nachhaltige Landwirtschaft als Lösung für den Klimawandel,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Sustainable Development Network,Schweden,65000,Wassermanagement zur Reduktion von Wasserknappheit,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",Social Innovation Fund,Niederlande,160000,Technologische Lösungen zur Bekämpfung von Armut,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",Social Innovation Fund,Niederlande,160000,Der Einfluss von Automatisierung auf die globalen Arbeitsmärkte,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",Social Innovation Fund,Niederlande,160000,Technologische Disruptionen in Bildungssystemen,Technik und Gesellschaft,Dr. Markus Roth,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",Social Innovation Fund,Niederlande,160000,Erfolgreiche Integration von digitalen Tools in den sozialen Sektor,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",Social Innovation Fund,Niederlande,160000,Digitale Arbeitsplätze und ihre Auswirkungen auf die Generation Z,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",Global Health Foundation,USA,220000,Neue Virusvarianten und ihre Ausbreitungsmuster,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",Global Health Foundation,USA,220000,Die Rolle von Impfungen im Kampf gegen Epidemien,Global Health,Dr. Paul Reiter,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",Global Health Foundation,USA,220000,Immunantworten auf neue Virusmutationen,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Wissenschaftliche Modelle zur Bekämpfung von Sturzfluten,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Zusammenhang zwischen Meeresströmungen und Klimawandel,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Korrelation von Klimadaten mit landwirtschaftlichen Erträgen,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Entwicklung von Frühwarnsystemen für Naturkatastrophen,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Voraussagen für den globalen Meeresspiegelanstieg,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Genetische Grundlagen von Autoimmunerkrankungen,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Geneditierung zur Heilung von Erbkrankheiten,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Fortschritte in der Immuntherapie,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Die Zukunft der CRISPR-Technologie in der Medizin,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Verborgene Potenziale der synthetischen Biologie,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Schutz von Korallenriffen in tropischen Regionen,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Interaktion von Fischen und Mikroorganismen im Ozean,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Aufbau von Widerstandsfähigkeit gegen Sturmfluten,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Sichere Maßnahmen zur Vermeidung von Küstenschäden,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Biodiversitätsverluste und ihre Folgen für das Ökosystem,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Untersuchung von Wettermustern in verschiedenen Klimazonen,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Einfluss von Aerosolen auf das Wetter,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Langfristige Veränderungen in der globalen Temperatur,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Modelle zur Abschwächung von Extremwetterereignissen,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,CRISPR-Technologie in der personalisierten Medizin,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Ethische Implikationen der Genomveränderung,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Revolution der Zelltherapien bei Krebsbehandlungen,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Genetische Zelltherapien für seltene Krankheiten,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Neue Entdeckungen im Bereich der regenerativen Medizin,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Innovative Materialien im Küstenschutz,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Auswirkungen des Klimawandels auf die Meeresbiodiversität,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Erhalt von Mangroven und Korallenriffen,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Modellierung von Küstenerosion und Schutzstrategien,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Ocean Conservation Fund,Norwegen,120000,Einfluss von Mikroplastik auf die marinen Lebensräume,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Neue Perspektiven in der Quantenverschlüsselung,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Nanomaterialien für die Quantenkommunikation,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Quantensimulation in der Materialforschung,Quantensimulation,Dr. Felix Keller,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Nanomaterialien in Quantencomputern,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",AI Ethics Consortium,Deutschland,40000,Fortschritte in der Quantenfehlerkorrektur,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Optimierung von Smart Grids zur Reduzierung des Energieverbrauchs,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Solaranlagen auf schwimmenden Wasserflächen,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Politische Impulse für eine CO2-neutrale Zukunft,Klimapolitik und Gesellschaft,Dr. Laura Lehmann,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Climate Future Foundation,Deutschland,500000,Ressourcenoptimierung im Gebäudebereich,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
